source_file,path,method,feat_requires_auth,feat_path_depth,feat_is_admin,feat_has_identifier,feat_identifier_count,feat_method_risk,feat_param_count,feat_response_401,feat_sensitive_path,feat_id_position,feat_path_param_ratio,feat_id_and_write,feat_complex_risk,feat_param_name_id_risk,feat_missing_auth_with_id,feat_sibling_endpoint_count,feat_anomaly
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/orders,POST,1,4,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,2,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/orders/{order_id},PUT,1,5,0,1,1,3,0.6931471805599453,1,0,0.8,1.0,1,0,1,0,2,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/orders/{order_id},GET,1,5,0,1,1,1,0.6931471805599453,1,0,0.8,1.0,0,0,1,0,2,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/orders/all,GET,1,5,0,0,0,1,1.0986122886681098,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/orders/return_order,POST,1,5,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/apply_coupon,POST,1,4,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/shop/return_qr_code,GET,1,4,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/management/users/all,GET,1,5,0,0,0,1,1.0986122886681098,0,1,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/mechanic/,GET,1,3,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/merchant/contact_mechanic,POST,1,4,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/mechanic/receive_report,GET,0,4,0,0,0,1,1.3862943611198906,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/mechanic/mechanic_report,GET,1,4,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/mechanic/service_requests,GET,1,4,0,0,0,1,1.0986122886681098,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/crapi/crapi-openapi-spec.json,/workshop/api/mechanic/signup,POST,0,4,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/users,GET,0,2,0,0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/users,POST,0,2,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/users/checkadmin,GET,0,3,1,0,0,1,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/users/profile,GET,0,3,0,0,0,1,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/admin/logs,GET,0,3,1,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/users/logout/{redirect},GET,0,4,0,1,1,1,0.6931471805599453,0,1,0.75,1.0,0,1,0,1,0,0.0
data/raw/dvws/swagger-output.json,/v2/login,POST,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/users/profile/export/xml,GET,0,5,0,0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/users/profile/export/xml,POST,0,5,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/users/profile/import/xml,POST,0,5,0,0,0,2,0.0,0,1,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/admin/create-user,POST,0,3,1,0,0,2,0.6931471805599453,1,1,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/users/ldap-search,GET,0,3,0,0,0,1,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/users/ldap-search,POST,0,3,0,0,0,2,0.6931471805599453,0,1,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v1/info,GET,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/info,GET,0,2,0,0,0,1,0.0,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/release/{release},GET,0,3,0,1,1,1,0.6931471805599453,0,0,0.6666666666666666,1.0,0,0,0,1,0,0.0
data/raw/dvws/swagger-output.json,/v2/sysinfo/{command},GET,0,3,0,1,1,1,0.6931471805599453,0,0,0.6666666666666666,1.0,0,0,0,1,0,0.0
data/raw/dvws/swagger-output.json,/v2/notes,GET,0,2,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,4,0.0
data/raw/dvws/swagger-output.json,/v2/notes,POST,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,4,0.0
data/raw/dvws/swagger-output.json,/v2/notes/{noteId},GET,0,3,0,1,1,1,0.6931471805599453,0,0,0.6666666666666666,1.0,0,0,1,1,4,0.0
data/raw/dvws/swagger-output.json,/v2/notes/{noteId},PUT,0,3,0,1,1,3,0.6931471805599453,0,0,0.6666666666666666,1.0,1,0,1,1,4,0.0
data/raw/dvws/swagger-output.json,/v2/notes/{noteId},DELETE,0,3,0,1,1,3,0.6931471805599453,0,0,0.6666666666666666,1.0,1,0,1,1,4,0.0
data/raw/dvws/swagger-output.json,/v2/notesearch,POST,0,2,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/notesearch/all,GET,0,3,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/notes/import/xml,POST,0,4,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/passphrase,POST,0,2,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/v2/export,POST,0,2,0,0,0,2,0.6931471805599453,1,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/dvws/swagger-output.json,/v2/passphrase/{username},GET,0,3,0,1,1,1,0.6931471805599453,0,1,0.6666666666666666,1.0,0,1,0,1,1,0.0
data/raw/dvws/swagger-output.json,/upload,POST,0,1,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/upload,GET,0,1,0,0,0,1,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,1,0.0
data/raw/dvws/swagger-output.json,/download,POST,0,1,0,0,0,2,0.6931471805599453,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/juiceshop/swagger.yml,/orders,POST,1,1,0,0,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
data/raw/vampi/openapi3.yml,/createdb,GET,0,1,0,0,0,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0
